"","day","con","rep","hc","co2","co","car","dev"
"187",12,"1",3,0.46,14.21,0.03,"Bentley",1
"188",12,"2",1,2.31,14.16,0.03,"Bentley",1
"189",12,"2",2,1,14.11,0.03,"Bentley",1
"190",12,"2",3,1.46,14.2,0.03,"Bentley",1
"191",12,"3",1,3.69,14.56,0.06,"Bentley",1
"192",12,"3",2,3.08,14.73,0.07,"Bentley",1
"193",12,"3",3,1.77,14.85,0.08,"Bentley",1
"194",12,"4",1,1.38,14.86,0.07,"Bentley",1
"195",12,"4",2,4.85,14.09,0.06,"Bentley",1
"196",12,"4",3,4.15,14.11,0.07,"Bentley",1
"197",13,"1",1,NA,NA,NA,"Bentley",1
"198",13,"1",2,NA,NA,NA,"Bentley",1
"199",13,"1",3,NA,NA,NA,"Bentley",1
"200",13,"2",1,0.92,14.18,0.03,"Bentley",1
"201",13,"2",2,0.36,14.19,0.03,"Bentley",1
"202",13,"2",3,0.15,14.17,0.03,"Bentley",1
"203",13,"3",1,5.92,14.72,0.06,"Bentley",1
"204",13,"3",2,5.38,15.19,0.07,"Bentley",1
"205",13,"3",3,5.71,15.4,0.09,"Bentley",1
"206",13,"4",1,3.92,15.48,0.08,"Bentley",1
"207",13,"4",2,6.15,15.56,0.11,"Bentley",1
"208",13,"4",3,4.54,15.62,0.11,"Bentley",1
"209",14,"1",1,0.08,14.11,0.04,"Bentley",1
"210",14,"1",2,1.77,13.95,0.04,"Bentley",1
"211",14,"1",3,1.46,14.11,0.04,"Bentley",1
"212",14,"2",1,2.62,13.48,0.03,"Bentley",1
"213",14,"2",2,1.69,13.55,0.02,"Bentley",1
"214",14,"2",3,3.92,13.53,0.03,"Bentley",1
"215",14,"3",1,2.23,14.45,0.03,"Bentley",1
"216",14,"3",2,3.46,14.69,0.06,"Bentley",1
"217",14,"3",3,7,15.08,0.05,"Bentley",1
"218",14,"4",1,5.54,13.99,0.06,"Bentley",1
"219",14,"4",2,7.62,14.05,0.07,"Bentley",1
"220",14,"4",3,8.15,14.17,0.06,"Bentley",1
